# Plan de commissioning para CONV
CONV
# E (MeV), I (nA), codFiltro, numSpots
3, 8, 1, 27
# X (cm), Y (cm), Z(cm), t (s)
5, 0, 0, 0.05
5, 0, -2, 0.05
5, 0, -4, 0.05
5, 0, -6, 0.05
5, 0, -8, 0.05
3, 2.5, 0, 0.05
2, 1.5, -1, 0.05
3, 0.5, -2, 0.05
2, -0.5, -3, 0.05
3, -1.5, -4, 0.05
2, -2.5, -5, 0.05
1, 2.5, -6, 0.05
0, 1.5, -7, 0.05
1, 0.5, -8, 0.05
0, -0.5, -9, 0.05
1, -1.5, -10, 0.05
-1, 2.5, 0, 0.25
-2, 1.5, -1, 0.25
-1, 0.5, -2, 0.25
-2, -0.5, -3, 0.25
-1, -1.5, -4, 0.25
-2, -2.5, -5, 0.25
-3, 2.5, -6, 0.25
-4, 1.5, -7, 0.25
-3, 0.5, -8, 0.25
-4, -0.5, -9, 0.25
-3, -1.5, -10, 0.25
